PC_CODE,COMMODITY,STATE,Country,UNIT,Quantity,Trade_Value_USD,,,
A1,TEA,DELHI,DENMARK,KGS,3229,22138,,,
A1,TEA,DELHI,FRANCE,KGS,1551,52073,,,
A1,TEA,DELHI,GEORGIA,KGS,1212,5596,,,
A1,TEA,DELHI,GERMANY,KGS,25031,972191,,,
A1,TEA,DELHI,GHANA,KGS,1893,9885,,,
A1,TEA,DELHI,GREECE,KGS,1347,3865,,,
A1,TEA,DELHI,HONG KONG,KGS,25870,166147,,,
A1,TEA,DELHI,HUNGARY,KGS,38,143,,,
A1,TEA,DELHI,IRAN,KGS,20000,125313,,,
A1,TEA,DELHI,IRELAND,KGS,4802,34461,,,
A1,TEA,DELHI,ITALY,KGS,5976,29548,,,
A1,TEA,DELHI,JAPAN,KGS,26419,175316,,,
A1,TEA,DELHI,JORDAN,KGS,1000,6244,,,
A1,TEA,DELHI,KAZAKHSTAN,KGS,1770,20768,,,
A1,TEA,DELHI,KENYA,KGS,2288,12150,,,
A1,TEA,DELHI,KUWAIT,KGS,9904,35978,,,
A1,TEA,DELHI,KYRGHYZSTAN,KGS,3100,20109,,,
A1,TEA,DELHI,LITHUANIA,KGS,156,1668,,,
A1,TEA,DELHI,LUXEMBOURG,KGS,77,438,,,
A1,TEA,DELHI,MACAO,KGS,514,3410,,,
A1,TEA,DELHI,MALAYSIA,KGS,200,2125,,,
A1,TEA,DELHI,MALDIVES,KGS,448,2476,,,
A1,TEA,DELHI,MALTA,KGS,2999,18565,,,
A1,TEA,DELHI,MAURITIUS,KGS,5283,33502,,,
A1,TEA,DELHI,NEPAL,KGS,2525,20972,,,
A1,TEA,DELHI,NETHERLAND,KGS,17242,102277,,,
A1,TEA,DELHI,NEW ZEALAND,KGS,30552,133857,,,
A1,TEA,DELHI,NIGERIA,KGS,4485,19762,,,
A1,TEA,DELHI,OMAN,KGS,2004,21486,,,
A1,TEA,DELHI,PHILIPPINES,KGS,2476,13774,,,
A1,TEA,DELHI,POLAND,KGS,47,559,,,
A1,TEA,DELHI,QATAR,KGS,25384,94270,,,
A1,TEA,DELHI,ROMANIA,KGS,3846,9288,,,
A1,TEA,DELHI,RUSSIA,KGS,72908,497278,,,
A1,TEA,DELHI,SAUDI ARAB,KGS,567427,1548054,,,
A1,TEA,DELHI,SINGAPORE,KGS,91857,567921,,,
A1,TEA,DELHI,SOUTH AFRICA,KGS,2782,9121,,,
A1,TEA,DELHI,SWAZILAND,KGS,18,749,,,
A1,TEA,DELHI,SWEDEN,KGS,2472,19271,,,
A1,TEA,DELHI,SWITZERLAND,KGS,6286,45247,,,
A1,TEA,DELHI,TAIWAN,KGS,5,151,,,
A1,TEA,DELHI,TAJIKISTAN,KGS,216,1237,,,
A1,TEA,DELHI,TANZANIA REP,KGS,2,10,,,
A1,TEA,DELHI,THAILAND,KGS,12071,44214,,,
A1,TEA,DELHI,TOGO,KGS,80,552,,,
A1,TEA,DELHI,TRINIDAD,KGS,160,547,,,
A1,TEA,DELHI,U ARAB EMTS,KGS,27608,156222,,,
A1,TEA,DELHI,U K,KGS,6625,164461,,,
A1,TEA,DELHI,U S A,KGS,166363,1631887,,,
A1,TEA,DELHI,UKRAINE,KGS,14,313,,,
A1,TEA,DELHI,UZBEKISTAN,KGS,121781,265590,,,
A1,TEA,DELHI,VIETNAM SOC REP,KGS,4772,26222,,,
A1,TEA,GOA,ISRAEL,KGS,25,309,,,
A1,TEA,GOA,KOREA RP,KGS,25700,826419,,,
A1,TEA,GOA,U K,KGS,2100,47110,,,
A1,TEA,GOA,VIETNAM SOC REP,KGS,6,320,,,
A1,TEA,GUJARAT,ANGOLA,KGS,2302,14558,,,
A1,TEA,GUJARAT,ARMENIA,KGS,5536,16282,,,
A1,TEA,GUJARAT,AUSTRALIA,KGS,591193,3928811,,,
A1,TEA,GUJARAT,BAHARAIN IS,KGS,123928,529155,,,
A1,TEA,GUJARAT,BELIZE,KGS,255,1651,,,
A1,TEA,GUJARAT,BENIN,KGS,1445,7719,,,
A1,TEA,GUJARAT,BHUTAN,KGS,1710,15596,,,
A1,TEA,GUJARAT,BURKINA FASO,KGS,28,1852,,,
A1,TEA,GUJARAT,CAMEROON,KGS,1098,5844,,,
A1,TEA,GUJARAT,CANADA,KGS,917643,5472407,,,
A1,TEA,GUJARAT,CAYMAN IS,KGS,48,269,,,
A1,TEA,GUJARAT,CHINA P RP,KGS,1107,7408,,,
A1,TEA,GUJARAT,COLOMBIA,KGS,4125,6939,,,
A1,TEA,GUJARAT,CONGO D. REP.,KGS,407,3739,,,
A1,TEA,GUJARAT,CONGO P REP,KGS,372,1312,,,
A1,TEA,GUJARAT,COTE D' IVOIRE,KGS,380,2411,,,
A1,TEA,GUJARAT,CZECH REPUBLIC,KGS,5296,27106,,,
A1,TEA,GUJARAT,EGYPT A RP,KGS,6617,43376,,,
A1,TEA,GUJARAT,EQUTL GUINEA,KGS,190,1634,,,
A1,TEA,GUJARAT,FIJI IS,KGS,16975,137092,,,
A1,TEA,GUJARAT,FINLAND,KGS,1212,6918,,,
A1,TEA,GUJARAT,FRANCE,KGS,17888,95300,,,
A1,TEA,GUJARAT,GAMBIA,KGS,363,1372,,,
A1,TEA,GUJARAT,GEORGIA,KGS,300,830,,,
A1,TEA,GUJARAT,GERMANY,KGS,53397,323749,,,
A1,TEA,GUJARAT,GHANA,KGS,12890,74899,,,
A1,TEA,GUJARAT,GREECE,KGS,12457,66426,,,
A1,TEA,GUJARAT,GUINEA,KGS,2318,7999,,,
A1,TEA,GUJARAT,HONG KONG,KGS,1158,7505,,,
A1,TEA,GUJARAT,INDONESIA,KGS,7111,57275,,,
A1,TEA,GUJARAT,IRAQ,KGS,65577,359550,,,
A1,TEA,GUJARAT,ISRAEL,KGS,8240,58009,,,
A1,TEA,GUJARAT,ITALY,KGS,68214,396726,,,
A1,TEA,GUJARAT,JAPAN,KGS,37375,157708,,,
A1,TEA,GUJARAT,JORDAN,KGS,38225,246941,,,
A1,TEA,GUJARAT,KAZAKHSTAN,KGS,3004,17946,,,
A1,TEA,GUJARAT,KENYA,KGS,1771,9603,,,
A1,TEA,GUJARAT,KOREA RP,KGS,300,1054,,,
A1,TEA,GUJARAT,KUWAIT,KGS,98978,515457,,,
A1,TEA,GUJARAT,LATVIA,KGS,1844,15267,,,
A1,TEA,GUJARAT,LIBERIA,KGS,60,371,,,
A1,TEA,GUJARAT,MADAGASCAR,KGS,260,1204,,,
A1,TEA,GUJARAT,MALAWI,KGS,554,3583,,,
A1,TEA,GUJARAT,MALAYSIA,KGS,16015,144357,,,
A1,TEA,GUJARAT,MALDIVES,KGS,24549,97281,,,
A1,TEA,GUJARAT,MAURITIUS,KGS,5035,44650,,,
A1,TEA,GUJARAT,MOZAMBIQUE,KGS,3452,17114,,,
A1,TEA,GUJARAT,NEPAL,KGS,4580,16767,,,
A1,TEA,GUJARAT,NETHERLAND,KGS,59700,339288,,,
A1,TEA,GUJARAT,NEW ZEALAND,KGS,98862,646047,,,
A1,TEA,GUJARAT,NIGERIA,KGS,14793,61022,,,
A1,TEA,GUJARAT,NORWAY,KGS,7392,35812,,,
A1,TEA,GUJARAT,OMAN,KGS,103911,415907,,,
A1,TEA,GUJARAT,PANAMA REPUBLIC,KGS,854,5247,,,
A1,TEA,GUJARAT,PAPUA N GNA,KGS,360,2521,,,
A1,TEA,GUJARAT,PHILIPPINES,KGS,4299,31938,,,
A1,TEA,GUJARAT,POLAND,KGS,4092,24094,,,
A1,TEA,GUJARAT,PORTUGAL,KGS,53077,280266,,,
A1,TEA,GUJARAT,QATAR,KGS,82393,488462,,,
A1,TEA,GUJARAT,REUNION,KGS,210,1302,,,
A1,TEA,GUJARAT,RUSSIA,KGS,3015,22537,,,
A1,TEA,GUJARAT,SAMOA,KGS,3240,23207,,,
A1,TEA,GUJARAT,SAUDI ARAB,KGS,210903,1108896,,,
A1,TEA,GUJARAT,SENEGAL,KGS,11671,70170,,,
A1,TEA,GUJARAT,SEYCHELLES,KGS,4571,28034,,,
A1,TEA,GUJARAT,SIERRA LEONE,KGS,472,1418,,,
A1,TEA,GUJARAT,SINGAPORE,KGS,39115,351074,,,
A1,TEA,GUJARAT,SLOVENIA,KGS,2508,17545,,,
A1,TEA,GUJARAT,SOLOMON IS,KGS,6336,46852,,,
A1,TEA,GUJARAT,SOUTH AFRICA,KGS,60153,331434,,,
A1,TEA,GUJARAT,SPAIN,KGS,10677,59651,,,
A1,TEA,GUJARAT,ST LUCIA,KGS,2,148,,,
A1,TEA,GUJARAT,SUDAN,KGS,120,557,,,
A1,TEA,GUJARAT,SWEDEN,KGS,8570,48890,,,
A1,TEA,GUJARAT,TANZANIA REP,KGS,30362,135639,,,
A1,TEA,GUJARAT,THAILAND,KGS,210,808,,,
A1,TEA,GUJARAT,TOGO,KGS,6398,36777,,,
A1,TEA,GUJARAT,TRINIDAD,KGS,2447,28673,,,
A1,TEA,GUJARAT,U ARAB EMTS,KGS,770152,3573395,,,
A1,TEA,GUJARAT,U K,KGS,581012,3156887,,,
A1,TEA,GUJARAT,U S A,KGS,1923850,12806211,,,
A1,TEA,GUJARAT,UGANDA,KGS,315,897,,,
A1,TEA,GUJARAT,VIETNAM SOC REP,KGS,525,3583,,,
A1,TEA,GUJARAT,ZAMBIA,KGS,2857,21086,,,
A1,TEA,HARYANA,AUSTRALIA,KGS,6156,32423,,,
A1,TEA,HARYANA,AZERBAIJAN,KGS,120611,482907,,,
A1,TEA,HARYANA,BHUTAN,KGS,1948,13273,,,
A1,TEA,HARYANA,BRAZIL,KGS,204,655,,,
A1,TEA,HARYANA,CANADA,KGS,3907,17759,,,
A1,TEA,HARYANA,CHINA P RP,KGS,41,1413,,,
